MO  effCR   nrRE      par1      par2     MSE
8 0.782639 1440 21.14965 9.58594 0.0006423261
8 0.781944 2880 21.16611 11.50236 0.0003935641
8 0.781018 4320 21.19836 12.49645 0.0009175189
8 0.781076 5760 21.21506 12.54337 0.001694578
8 0.780694 7200 21.30846 12.5677 0.0004707065
8 0.780093 10800 21.34983 14.43036 0.0006739311
8 0.78 14400 21.2727 12.92731 0.001233189
8 0.868056 144 23.55761 3.626829 0.001544914
8 0.864583 288 23.23654 4.256613 0.008745421
8 0.863426 432 23.03668 6.048648 0.0008579998
8 0.869792 576 23.17134 6.140186 0.004267041
8 0.8625 720 22.96549 7.523231 0.0006615326
8 0.860417 1440 23.09368 8.609414 0.0009612069
8 0.861458 2880 23.20105 9.464991 0.001974131
8 0.860648 4320 23.1993 10.42736 0.001568812
8 0.861111 5760 23.21094 11.06296 0.002680131
8 0.860278 7200 23.27802 10.38736 0.00190635
8 0.860556 10800 23.34418 10.21318 0.003624195
8 0.860139 14400 23.44838 8.902811 0.01272939
8 0.951389 144 27.39175 2.196123 0.003308209
8 0.934028 288 25.29992 3.842269 0.007875466
8 0.9375 432 25.35317 3.991013 0.01452019
8 0.939236 576 25.39773 4.412765 0.01158197
8 0.940278 720 25.38209 4.461954 0.01640956
8 0.932639 1440 25.41122 4.667589 0.02245484
8 0.930903 2880 25.4758 4.559074 0.02742387
8 0.930324 4320 25.52747 4.517474 0.03213379
8 0.930035 5760 25.57349 4.226449 0.03906122
8 0.930278 7200 25.34116 8.766714 0.0047828
8 0.930648 10800 25.60818 4.437124 0.04818216
8 0.930486 14400 25.45907 8.2725 0.01074629
